240033001429, CENTERVILLE ELEMENTARY, 3601 CARRIAGE HILL DR, FREDERICK, MD 21704, (240) 566-0100, ξξ-ξξFREDERICK COUNTY COUNTY, Public, KG,5,,
A0702427, KINGS WAY CHRISTIAN ACADEMY, 840 JENKINS DR, CHARLESTON, WV 25312, (304) 720-4994, ξξ-ξξKANAWHA COUNTY, Private,1,10,,
540060000355, ANDREW JACKSON MIDDLE SCHOOL, 5445 BIG TYLER ROAD, CHARLESTON, WV 25313, (304) 776-3310, ξξ-ξξKANAWHA COUNTY COUNTY, Public,6,8,,
540060000378, CROSS LANES ELEMENTARY SCHOOL, 5525 BIG TYLER ROAD, CHARLESTON, WV 25313, (304) 776-2022, ξξ-ξξKANAWHA COUNTY COUNTY, Public, PK,5,,
540060000434, POINT HARMONY ELEMENTARY SCHOOL, 5312 BIG TYLER ROAD, CHARLESTON, WV 25313, (304) 776-3482, ξξ-ξξKANAWHA COUNTY COUNTY, Public, PK,5,,
540060001298, TYLER MIDDLE SCHOOL, 4277 WEST WASHINGTON STREET, CHARLESTON, WV 25313, (304) 348-6133, ξξ-ξξKANAWHA COUNTY COUNTY, Public,6,8,,
540060000397, GEORGE WASHINGTON HIGH SCHOOL, 1522 TENNIS CLUB RD, CHARLESTON, WV 25314, (304) 348-7729, ξξ-ξξKANAWHA COUNTY COUNTY, Public,9,12,,
540060000405, HOLZ ELEMENTARY SCHOOL, 1505 HAMPTON RD, CHARLESTON, WV 25314, (304) 348-1906, ξξ-ξξKANAWHA COUNTY COUNTY, Public, PK,5,,
540060000352, JOHN ADAMS MIDDLE SCHOOL, 2002 PRESIDENTIAL DR, CHARLESTON, WV 25314, (304) 348-6652, ξξ-ξξKANAWHA COUNTY COUNTY, Public,6,8,,
540060000410, KENNA ELEMENTARY SCHOOL, 198 EUREKA RD, CHARLESTON, WV 25314, (304) 348-6104, ξξ-ξξKANAWHA COUNTY COUNTY, Public, PK,5,,
540060000429, OVERBROOK ELEMENTARY SCHOOL, 218 OVERBROOK RD, CHARLESTON, WV 25314, (304) 348-6179, ξξ-ξξKANAWHA COUNTY COUNTY, Public, PK,5,,
540060000375, CHESAPEAKE ELEMENTARY SCHOOL, 13620 MCCORKLE AVE, CHESAPEAKE, WV 25315, (304) 949-1121, ξξ-ξξKANAWHA COUNTY COUNTY, Public, PK,5,,
540060000417, MARMET ELEMENTARY SCHOOL, 408 94TH ST, MARMET, WV 25315, (304) 949-2382, ξξ-ξξKANAWHA COUNTY COUNTY, Public, PK,5,,
A9107127, UPPER KANAWHA VALLEY CHRISTIAN SCHOOL, 12721 MACCORKLE AVE, CHARLESTON, WV 25315, (304) 949-1410, ξξ-ξξKANAWHA COUNTY, Private,7,7,,
540060000449, SISSONVILLE ELEMENTARY SCHOOL, 8324 SISSONVILLE DRIVE, SISSONVILLE, WV 25320, (304) 348-1961, ξξ-ξξKANAWHA COUNTY COUNTY, Public, PK,4,,
540060000451, SISSONVILLE MIDDLE SCHOOL, 8316 OLD MILL ROAD, SISSONVILLE, WV 25320, (304) 348-1993, ξξ-ξξKANAWHA COUNTY COUNTY, Public,5,8,,
A0903785, BIBLE BAPTIST CHRISTIAN SCHOOL, 7020 SISSONVILLE DR, SISSONVILLE, WV 25320, (304) 881-1575, ξξ-ξξKANAWHA COUNTY, Private,12,12,,
540006001222, BERKELEY HEIGHTS ELEMENTARY SCHOOL, 726 HACK WILSON WAY, MARTINSBURG, WV 25401, (304) 267-3520, ξξ-ξξBERKELEY COUNTY COUNTY, Public, PK,3,,
540006000015, BURKE STREET ELEMENTARY SCHOOL, 422 WEST BURKE STREET, MARTINSBURG, WV 25401, (304) 267-3525, ξξ-ξξBERKELEY COUNTY COUNTY, Public, PK,3,,
540006000026, MARTINSBURG HIGH SCHOOL, 701 SOUTH QUEEN STREET, MARTINSBURG, WV 25401, (304) 267-3530, ξξ-ξξBERKELEY COUNTY COUNTY, Public,9,12,,
540006000025, MARTINSBURG SOUTH MIDDLE SCHOOL, 150 BULLDOG BOULEVARD, MARTINSBURG, WV 25401, (304) 267-3545, ξξ-ξξBERKELEY COUNTY COUNTY, Public,6,8,,
540006000031, ROSEMONT ELEMENTARY SCHOOL, 301 SOUTH ALABAMA AVENUE, MARTINSBURG, WV 25401, (304) 267-3560, ξξ-ξξBERKELEY COUNTY COUNTY, Public, PK,3,,
540006000032, TUSCARORA ELEMENTARY SCHOOL, 2000 TAVERN ROAD, MARTINSBURG, WV 25401, (304) 267-3565, ξξ-ξξBERKELEY COUNTY COUNTY, Public, PK,2,,
540051101040, VICKI DOUGLAS JUVENILE CENTER, 900 EMMETT ROUSCH DRIVE, MARTINSBURG, WV 25401, (304) 267-0167, ξξ-ξξBERKELEY COUNTY COUNTY, Public,9,12,,
540006000034, WINCHESTER AVENUE ELEMENTARY SCHOOL, 650 WINCHESTER AVENUE, MARTINSBURG, WV 25401, (304) 267-3570, ξξ-ξξBERKELEY COUNTY COUNTY, Public, PK,3,,
1489552, ST JOSEPH SCHOOL, 110 E STEPHEN ST, MARTINSBURG, WV 25401, (304) 267-6447, ξξ-ξξBERKELEY COUNTY, Private, PK,8,,
540006001376, JAMES RUMSEY TECHNICAL INSTITUTE, 3274 HEDGESVILLE ROAD, MARTINSBURG, WV 25403, (304) 754-7925, ξξ-ξξBERKELEY COUNTY COUNTY, Public, PK,12,,
540006001122, ORCHARD VIEW INTERMEDIATE SCHOOL, 1455 DELMAR ORCHARD RD, MARTINSBURG, WV 25403, (304) 263-4143, ξξ-ξξBERKELEY COUNTY COUNTY, Public,4,5,,
1612442, ROCKY KNOLL SCHOOL, 52 ADVENT DR, MARTINSBURG, WV 25403, (304) 263-9894, ξξ-ξξBERKELEY COUNTY, Private, PK,8,,
540006000013, BEDINGTON ELEMENTARY SCHOOL, 149 BEDINGTON ROAD, MARTINSBURG, WV 25404, (304) 274-2535, ξξ-ξξBERKELEY COUNTY COUNTY, Public, PK,2,,
540006001121, EAGLE SCHOOL INTERMEDIATE, 730 EAGLE SCHOOL ROAD, MARTINSBURG, WV 25404, (304) 263-0422, ξξ-ξξBERKELEY COUNTY COUNTY, Public,3,5,,
540006000024, MARTINSBURG NORTH MIDDLE SCHOOL, 250 EAST ROAD, MARTINSBURG, WV 25404, (304) 267-3540, ξξ-ξξBERKELEY COUNTY COUNTY, Public,6,8,,
540006000028, OPEQUON ELEMENTARY SCHOOL, 395 EAST ROAD, MARTINSBURG, WV 25404, (304) 267-3550, ξξ-ξξBERKELEY COUNTY COUNTY, Public, PK,2,,
540006000910, POTOMACK INTERMEDIATE SCHOOL, 5308 WILLIAMSPORT PIKE, MARTINSBURG, WV 25404, (304) 274-6592, ξξ-ξξBERKELEY COUNTY COUNTY, Public,3,5,,
540006001207, SPRING MILLS MIDDLE SCHOOL, 255 CAMPUS DRIVE, MARTINSBURG, WV 25404, (304) 274-5030, ξξ-ξξBERKELEY COUNTY COUNTY, Public,6,8,,
540006001479, SPRING MILLS PRIMARY, 401 CAMPUS DRIVE, MARTINSBURG, WV 25404, (304) 348-6610, ξξ-ξξBERKELEY COUNTY COUNTY, Public, PK,2,,
2067347, FAITH CHRISTIAN ACADEMY, 138 GREENSBURG RD, MARTINSBURG, WV 25404, (304) 263-0011, ξξ-ξξBERKELEY COUNTY, Private, PK,12,,
540006000033, VALLEY VIEW ELEMENTARY SCHOOL, 140 NADENBOUSCH LANE, MARTINSBURG, WV 25405, (304) 229-1970, ξξ-ξξBERKELEY COUNTY COUNTY, Public, PK,3,,
540099000819, BERKELEY SPRINGS HIGH SCHOOL, 149 CONCORD AVENUE, BERKELEY SPRINGS, WV 25411, (304) 258-2871, ξξ-ξξMORGAN COUNTY COUNTY, Public,9,12,,
540099000821, GREENWOOD ELEMENTARY SCHOOL, 8989 WINCHESTER GRADE ROAD, BERKELEY SPRINGS, WV 25411, (304) 258-2372, ξξ-ξξMORGAN COUNTY COUNTY, Public, KG,5,,
540099001141, WARM SPRINGS INTERMEDIATE SCHOOL, 575 WARM SPRINGS WAY, BERKELEY SPRINGS, WV 25411, (304) 258-0031, ξξ-ξξMORGAN COUNTY COUNTY, Public,3,5,,
540099000909, WARM SPRINGS MIDDLE SCHOOL, 271 WARM SPRINGS WAY, BERKELEY SPRINGS, WV 25411, (304) 258-1500, ξξ-ξξMORGAN COUNTY COUNTY, Public,6,8,,
540099001139, WIDMYER ELEMENTARY, 10 MYERS ROAD, BERKELEY SPRINGS, WV 25411, (304) 258-2024, ξξ-ξξMORGAN COUNTY COUNTY, Public, PK,2,,
540006000014, BUNKER HILL ELEMENTARY SCHOOL, 58 HAPPY SCHOOL AVENUE, BUNKER HILL, WV 25413, (304) 229-1980, ξξ-ξξBERKELEY COUNTY COUNTY, Public, PK,3,,
540006001029, MILL CREEK INTERMEDIATE SCHOOL, 8785 WINCHESTER AVENUE, BUNKER HILL, WV 25413, (304) 229-4570, ξξ-ξξBERKELEY COUNTY COUNTY, Public,3,5,,
540006001375, MUSSELMAN MIDDLE SCHOOL, 105 PRIDE AVENUE, BUNKER HILL, WV 25413, (304) 229-1965, ξξ-ξξBERKELEY COUNTY COUNTY, Public,6,8,,
540057000341, CHARLES TOWN MIDDLE SCHOOL, 193 HIGH STREET, CHARLES TOWN, WV 25414, (304) 725-7821, ξξ-ξξJEFFERSON COUNTY COUNTY, Public,6,8,,
540057000346, PAGE JACKSON ELEMENTARY, 370 PAGE JACKSON SCHOOL ROAD, CHARLES TOWN, WV 25414, (304) 728-9212, ξξ-ξξJEFFERSON COUNTY COUNTY, Public, PK,2,,
540057000350, SOUTH JEFFERSON ELEMENTARY SCHOOL, 4599 SUMMIT POINT ROAD, CHARLES TOWN, WV 25414, (304) 728-9216, ξξ-ξξJEFFERSON COUNTY COUNTY, Public, KG,5,,
540057001464, WASHINGTON HIGH SCHOOL, 2317 HUYETT ROAD, CHARLES TOWN, WV 25414, (304) 725-8491, ξξ-ξξJEFFERSON COUNTY COUNTY, Public,9,12,,
540057000351, WRIGHT DENNY INTERMEDIATE SCHOOL, 209 WEST CONGRESS STREET, CHARLES TOWN, WV 25414, (304) 725-2513, ξξ-ξξJEFFERSON COUNTY COUNTY, Public,3,5,,
A0971991, SMALL SCHOLARS PRESCHOOL, 248 CHERRY TREE DR, CHARLES TOWN, WV 25414, (304) 725-5437, ξξ-ξξJEFFERSON COUNTY, Private, PK,2,,
A0903806, WEE DISCIPLES CHRISTIAN ENRICHMENT PROGRAM, 110 W NORTH ST, CHARLES TOWN, WV 25414, (304) 707-6812, ξξ-ξξJEFFERSON COUNTY, Private, PK,1,,
540006000023, MARLOWE ELEMENTARY SCHOOL, 9580 WILLIAMSPORT PIKE, FALLING WATERS, WV 25419, (304) 274-2291, ξξ-ξξBERKELEY COUNTY COUNTY, Public, PK,2,,
540006000017, GERRARDSTOWN ELEMENTARY SCHOOL, 15 DOMINION ROAD, GERRARDSTOWN, WV 25420, (304) 229-1985, ξξ-ξξBERKELEY COUNTY COUNTY, Public, PK,2,,
540006001229, MOUNTAIN RIDGE INTERMEDIATE, 2691 GERRARDSTOWN ROAD, GERRARDSTOWN, WV 25420, (304) 229-6791, ξξ-ξξBERKELEY COUNTY COUNTY, Public,3,5,,
540057000340, BLUE RIDGE ELEMENTARY SCHOOL, 18866 CHARLES TOWN ROAD, HARPERS FERRY, WV 25425, (304) 725-2995, ξξ-ξξJEFFERSON COUNTY COUNTY, Public, KG,5,,
540057000342, C. W. SHIPLEY ELEMENTARY SCHOOL, 652 SHIPLEY SCHOOL ROAD, HARPERS FERRY, WV 25425, (304) 725-4395, ξξ-ξξJEFFERSON COUNTY COUNTY, Public, KG,5,,
540057000343, HARPERS FERRY MIDDLE SCHOOL, 1710 WEST WASHINGTON STREET, HARPERS FERRY, WV 25425, (304) 535-6357, ξξ-ξξJEFFERSON COUNTY COUNTY, Public,6,8,,
540006000012, BACK CREEK VALLEY ELEMENTARY SCHOOL, 1962 BACK CREEK VALLEY ROAD, HEDGESVILLE, WV 25427, (304) 229-1975, ξξ-ξξBERKELEY COUNTY COUNTY, Public, PK,2,,
540006000018, HEDGESVILLE ELEMENTARY SCHOOL, 88 SCHOOL HOUSE DRIVE, HEDGESVILLE, WV 25427, (304) 754-3341, ξξ-ξξBERKELEY COUNTY COUNTY, Public, PK,2,,
540006000019, HEDGESVILLE HIGH SCHOOL, 109 RIDGE ROAD NORTH, HEDGESVILLE, WV 25427, (304) 754-3354, ξξ-ξξBERKELEY COUNTY COUNTY, Public,9,12,,
540006000020, HEDGESVILLE MIDDLE SCHOOL, 334 SCHOOL HOUSE DRIVE, HEDGESVILLE, WV 25427, (304) 754-3313, ξξ-ξξBERKELEY COUNTY COUNTY, Public,6,8,,
540099000825, PLEASANT VIEW ELEMENTARY SCHOOL, 10500 MARTINSBURG ROAD, HEDGESVILLE, WV 25427, (304) 304-2606, ξξ-ξξMORGAN COUNTY COUNTY, Public, KG,5,,
540006001449, TOMAHAWK INTERMEDIATE SCHOOL, 6665 HEDGESVILLE ROAD, HEDGESVILLE, WV 25427, (304) 754-3171, ξξ-ξξBERKELEY COUNTY COUNTY, Public,3,5,,
540006000021, INWOOD PRIMARY SCHOOL, 7864 WINCHESTER AVE, INWOOD, WV 25428, (304) 229-1990, ξξ-ξξBERKELEY COUNTY COUNTY, Public, PK,3,,
540006000027, MUSSELMAN HIGH SCHOOL, 126 EXCELLENCE WAY, INWOOD, WV 25428, (304) 229-1950, ξξ-ξξBERKELEY COUNTY COUNTY, Public,9,12,,
A0702424, EASTERN PANHANDLE CHRISTIAN ACADEMY, PO BOX 590, INWOOD, WV 25428, (304) 229-2210, ξξ-ξξBERKELEY COUNTY, Private,2,11,,
540057000345, NORTH JEFFERSON ELEMENTARY, 6996 CHARLES TOWN ROAD, KEARNEYSVILLE, WV 25430, (304) 725-9587, ξξ-ξξJEFFERSON COUNTY COUNTY, Public, PK,5,,
1925604, THE COUNTRY DAY SCHOOL, 449 ROSE HILL DR, KEARNEYSVILLE, WV 25430, (304) 725-1438, ξξ-ξξJEFFERSON COUNTY, Private, PK,8,,
540042000249, JOHN J. CORNWELL, HC 60  BOX 72, LEVELS, WV 25431, (304) 492-5520, ξξ-ξξHAMPSHIRE COUNTY COUNTY, Public, PK,5,,
540099000823, PAW PAW ELEMENTARY SCHOOL, 60 PIRATE CIRCLE, PAW PAW, WV 25434, (304) 304-7425, ξξ-ξξMORGAN COUNTY COUNTY, Public, PK,6,,
540099000824, PAW PAW HIGH SCHOOL, 60 PIRATE CIRCLE, PAW PAW, WV 25434, (304) 947-7425, ξξ-ξξMORGAN COUNTY COUNTY, Public,7,12,,
540057000347, RANSON ELEMENTARY SCHOOL, 600 NORTH PRESTON STREET, RANSON, WV 25438, (304) 725-7310, ξξ-ξξJEFFERSON COUNTY COUNTY, Public, PK,5,,
540057001478, DRISWOOD ELEMENTARY SCHOOL, 75 CASPIAN WAY, SHENANDOAH JUNCTION, WV 25442, (304) 348-6610, ξξ-ξξJEFFERSON COUNTY COUNTY, Public, PK,6,,
540057000344, JEFFERSON HIGH SCHOOL, 4141 FLOWING SPRINGS ROAD, SHENANDOAH JUNCTION, WV 25442, (304) 725-8491, ξξ-ξξJEFFERSON COUNTY COUNTY, Public,9,12,,
540057000057, T A LOWERY ELEMENTARY SCHOOL, 103 SHENANDOAH JUNCTION ROAD, SHENANDOAH JUNCTION, WV 25442, (304) 728-7250, ξξ-ξξJEFFERSON COUNTY COUNTY, Public, PK,5,,
540057001463, WILDWOOD MIDDLE SCHOOL, 1209 SHENANDOAH JUNCTION ROAD, SHENANDOAH JUNCTION, WV 25442, (304) 728-4518, ξξ-ξξJEFFERSON COUNTY COUNTY, Public,6,8,,
540057000348, SHEPHERDSTOWN ELEMENTARY SCHOOL, 662 SOUTH CHURCH STREET, SHEPHERDSTOWN, WV 25443, (304) 876-6270, ξξ-ξξJEFFERSON COUNTY COUNTY, Public, PK,5,,
540057000349, SHEPHERDSTOWN MIDDLE SCHOOL, 54 MINDEN AVENUE, SHEPHERDSTOWN, WV 25443, (304) 876-6120, ξξ-ξξJEFFERSON COUNTY COUNTY, Public,6,8,,
A0702429, MORGAN ACADEMY, PO BOX 1281, SHEPHERDSTOWN, WV 25443, (304) 262-0188, ξξ-ξξBERKELEY COUNTY, Private, KG,8,,
540042000254, SLANESVILLE ELEMENTARY SCHOOL, P.O. BOX 230, SLANESVILLE, WV 25444, (304) 496-7069, ξξ-ξξHAMPSHIRE COUNTY COUNTY, Public, PK,5,,
A0303341, SLANESVILLE CHRISTIAN SCHOOL, PO BOX 300, SLANESVILLE, WV 25444, (304) 496-9224, ξξ-ξξHAMPSHIRE COUNTY, Private,1,10,,
540078001505, ASHTON ELEMENTARY SCHOOL, 4250 ASHTON-UPLAND ROAD, ASHTON, WV 25503, (304) 576-9931, ξξ-ξξMASON COUNTY COUNTY, Public, PK,6,,
540078000614, HANNAN HIGH SCHOOL, 6770 ASHTON UPLAND ROAD, ASHTON, WV 25503, (304) 576-2571, ξξ-ξξMASON COUNTY COUNTY, Public,7,12,,
540018000091, BARBOURSVILLE MIDDLE SCHOOL, 1400 CENTRAL AVE, BARBOURSVILLE, WV 25504, (304) 733-3003, ξξ-ξξCABELL COUNTY COUNTY, Public,6,8,,
540051100110, BARBOURSVILLE SCHOOL, P.O. BOX 490, BARBOURSVILLE, WV 25504, (304) 736-0915, ξξ-ξξCABELL COUNTY COUNTY, Public,6,12,,
540018000100, DAVIS CREEK ELEMENTARY SCHOOL, 6330 DAVIS CREEK RD, BARBOURSVILLE, WV 25504, (304) 733-3024, ξξ-ξξCABELL COUNTY COUNTY, Public, PK,5,,
540018000120, MARTHA ELEMENTARY SCHOOL, 3065 MARTHA ROAD, BARBOURSVILLE, WV 25504, (304) 733-3027, ξξ-ξξCABELL COUNTY COUNTY, Public, PK,5,,
540018000129, NICHOLS ELEMENTARY SCHOOL, 3505 ERWIN ROAD, BARBOURSVILLE, WV 25504, (304) 733-3031, ξξ-ξξCABELL COUNTY COUNTY, Public, PK,5,,
540051101234, ROBERT L. SHELL JUVENILE CENTER, 2 O'HANLON PLACE, BARBOURSVILLE, WV 25504, (304) 733-2069, ξξ-ξξCABELL COUNTY COUNTY, Public,8,12,,
540018001049, VILLAGE OF BARBOURSVILLE ELEMENTARY SCH, 718 CENTRAL AVE, BARBOURSVILLE, WV 25504, (304) 733-3035, ξξ-ξξCABELL COUNTY COUNTY, Public, PK,5,,
540066001242, GUYAN VALLEY MIDDLE, 700 STATE ROUTE 10 NORTH, BRANCHLAND, WV 25506, (304) 824-3235, ξξ-ξξLINCOLN COUNTY COUNTY, Public,6,8,,
540150001093, CEREDO ELEMENTARY SCHOOL, PO BOX 635, CEREDO, WV 25507, (304) 453-1511, ξξ-ξξWAYNE COUNTY COUNTY, Public, PK,5,,
540150001293, CEREDO-KENOVA MIDDLE SCHOOL, P.O. BOX 705, CEREDO, WV 25507, (304) 453-3588, ξξ-ξξWAYNE COUNTY COUNTY, Public,6,8,,
540069000507, CHAPMANVILLE EAST ELEMENTARY SCHOOL, P.O. BOX 340, CHAPMANVILLE, WV 25508, (304) 855-3302, ξξ-ξξLOGAN COUNTY COUNTY, Public, PK,4,,
540069000729, CHAPMANVILLE MIDDLE SCHOOL, 300 VANCE ST., CHAPMANVILLE, WV 25508, (304) 855-8378, ξξ-ξξLOGAN COUNTY COUNTY, Public,5,8,,
540069000508, CHAPMANVILLE SR HIGH SCHOOL, 200 VANCE STREET, CHAPMANVILLE, WV 25508, (304) 855-4522, ξξ-ξξLOGAN COUNTY COUNTY, Public,9,12,,
540069000537, WEST CHAPMANVILLE ELEMENTARY SCHOOL, BOX 310, CHAPMANVILLE, WV 25508, (304) 855-3209, ξξ-ξξLOGAN COUNTY COUNTY, Public, PK,4,,
A9107125, TRUTHWAY CHRISTIAN ACADEMY, RR 1 BOX 358, CHAPMANVILLE, WV 25508, (304) 855-9267, ξξ-ξξLOGAN COUNTY, Private,3,12,,
540018000099, CULLODEN ELEMENTARY SCHOOL, 2100 U.S. ROUTE 60, CULLODEN, WV 25510, (304) 743-7301, ξξ-ξξCABELL COUNTY COUNTY, Public, PK,5,,
1489723, MOUNTAIN STATE CHRISTIAN SCHOOL, PO BOX 510, CULLODEN, WV 25510, (304) 743-3751, ξξ-ξξCABELL COUNTY, Private, PK,12,,
540150001099, DUNLOW ELEMENTARY SCHOOL, ROUTE 1 BOX 308, DUNLOW, WV 25511, (304) 385-4376, ξξ-ξξWAYNE COUNTY COUNTY, Public, PK,5,,
540150001100, EAST LYNN ELEMENTARY SCHOOL, HCR 85  BOX 3, EAST LYNN, WV 25512, (304) 849-3171, ξξ-ξξWAYNE COUNTY COUNTY, Public, PK,5,,
540150001102, FORT GAY ELEMENTARY, 8600 ORCHARD STREET, FORT GAY, WV 25514, (304) 648-5488, ξξ-ξξWAYNE COUNTY COUNTY, Public, PK,5,,
540150001434, FORT GAY MIDDLE SCHOOL, P.O. BOX 460, FORT GAY, WV 25514, (304) 648-5404, ξξ-ξξWAYNE COUNTY COUNTY, Public,6,8,,
540150001435, TOLSIA HIGH SCHOOL, #1 REBEL DRIVE, FORT GAY, WV 25514, (304) 648-5566, ξξ-ξξWAYNE COUNTY COUNTY, Public,9,12,,
540078000609, BEALE ELEMENTARY SCHOOL, PO BOX 27, GALLIPOLIS FERRY, WV 25515, (304) 675-1260, ξξ-ξξMASON COUNTY COUNTY, Public, PK,6,,
540150001104, GENOA ELEMENTARY SCHOOL, RT 1 BOX 10, GENOA, WV 25517, (304) 385-4421, ξξ-ξξWAYNE COUNTY COUNTY, Public, PK,5,,
540066001236, DUVAL PK-8, P.O. BOX 67, GRIFFITHSVILLE, WV 25521, (304) 524-2101, ξξ-ξξLINCOLN COUNTY COUNTY, Public, PK,8,,
540066001237, HAMLIN PK-8, 8130 COURT AVE, HAMLIN, WV 25523, (304) 824-3036, ξξ-ξξLINCOLN COUNTY COUNTY, Public, PK,8,,
540066001245, LINCOLN COUNTY HIGH SCHOOL, 81 LINCOLN PANTHER WAY, HAMLIN, WV 25523, (304) 824-6000, ξξ-ξξLINCOLN COUNTY COUNTY, Public,9,12,,
540066001243, HARTS INTERMEDIATE, RT 1 BOX 130, HARTS, WV 25524, (304) 855-4881, ξξ-ξξLINCOLN COUNTY COUNTY, Public,5,8,,
540066001241, HARTS PRIMARY, RT 2 BOX 28, HARTS, WV 25524, (304) 855-3173, ξξ-ξξLINCOLN COUNTY COUNTY, Public, PK,4,,
540069000516, HUGH DINGESS ELEMENTARY SCHOOL, RT. 1, HARTS, WV 25524, (304) 855-3585, ξξ-ξξLINCOLN COUNTY COUNTY, Public, PK,4,,
540120000921, CONNER STREET ELEMENTARY, 445 CONNER STREET, HURRICANE, WV 25526, (304) 562-9351, ξξ-ξξPUTNAM COUNTY COUNTY, Public, PK,5,,
540120000926, HURRICANE HIGH SCHOOL, 3350 TEAYS VALLEY ROAD, HURRICANE, WV 25526, (304) 562-3991, ξξ-ξξPUTNAM COUNTY COUNTY, Public,9,12,,
540120000927, HURRICANE MIDDLE, 518 MIDLAND TRAIL, HURRICANE, WV 25526, (304) 562-9271, ξξ-ξξPUTNAM COUNTY COUNTY, Public,6,8,,
540120000925, HURRICANE TOWN ELEMENTARY, 300 HARBOUR LANE, HURRICANE, WV 25526, (304) 562-3610, ξξ-ξξPUTNAM COUNTY COUNTY, Public, PK,5,,
540120001302, LAKESIDE ELEMENTARY, 2550 US RT 60, HURRICANE, WV 25526, (304) 562-3630, ξξ-ξξPUTNAM COUNTY COUNTY, Public, PK,5,,
540120001470, MOUNTAIN VIEW ELEMENTARY SCHOOL, 3967 TEAYS VALLEY ROAD, HURRICANE, WV 25526, (304) 757-6711, ξξ-ξξPUTNAM COUNTY COUNTY, Public, PK,5,,
540120001303, WEST TEAYS ELEMENTARY, 3676 TEAYS VLY ROAD, HURRICANE, WV 25526, (304) 757-6711, ξξ-ξξPUTNAM COUNTY COUNTY, Public, KG,5,,
1925568, CALVARY BAPTIST ACADEMY, 3655 TEAYS VALLEY RD, HURRICANE, WV 25526, (304) 757-6768, ξξ-ξξPUTNAM COUNTY, Private, KG,12,,
A0110213, LIGHTHOUSE CHRISTIAN ACADEMY, 2440 US ROUTE 60, HURRICANE, WV 25526, (304) 562-3900, ξξ-ξξPUTNAM COUNTY, Private, PK,6,,
540051101144, DONALD R. KUHN JUVENILE CENTER, 1 LORY PLACE, JULIAN, WV 25529, (304) 369-2987, ξξ-ξξBOONE COUNTY COUNTY, Public,7,12,,
540150001091, BUFFALO ELEMENTARY SCHOOL, 331 BUFFALO CREEK ROAD, KENOVA, WV 25530, (304) 429-2911, ξξ-ξξWAYNE COUNTY COUNTY, Public, PK,5,,
540150001294, BUFFALO MIDDLE SCHOOL, 298 BUFFALO CREEK ROAD, KENOVA, WV 25530, (304) 429-6062, ξξ-ξξWAYNE COUNTY COUNTY, Public,6,8,,
540150001106, KENOVA ELEMENTARY SCHOOL, 1400 POPLAR STREET, KENOVA, WV 25530, (304) 453-1521, ξξ-ξξWAYNE COUNTY COUNTY, Public, PK,5,,
540150001107, LAVALETTE ELEMENTARY SCHOOL, P.O. BOX 380, LAVALETTE, WV 25535, (304) 525-3221, ξξ-ξξWAYNE COUNTY COUNTY, Public, PK,5,,
540018000097, COX LANDING ELEMENTARY SCHOOL, 6358 COX LANE, LESAGE, WV 25537, (304) 733-3019, ξξ-ξξCABELL COUNTY COUNTY, Public, PK,5,,
540018000125, MILTON ELEMENTARY SCHOOL, 1201 PIKE ST., MILTON, WV 25541, (304) 743-7303, ξξ-ξξCABELL COUNTY COUNTY, Public, PK,5,,
540018000683, MILTON MIDDLE SCHOOL, 1302 W. MAIN ST, MILTON, WV 25541, (304) 743-7308, ξξ-ξξCABELL COUNTY COUNTY, Public,6,8,,
540018000686, CABELL MIDLAND HIGH SCHOOL, 2300 US ROUTE 60 EAST, ONA, WV 25545, (304) 743-7400, ξξ-ξξCABELL COUNTY COUNTY, Public,9,12,,
540018000130, ONA ELEMENTARY SCHOOL, 2701 ELEMENTARY DR, ONA, WV 25545, (304) 743-7318, ξξ-ξξCABELL COUNTY COUNTY, Public, PK,5,,
540051101473, PRESSLEY RIDGE AT GRANT GARDENS, 2580 GRANT GARDENS ROAD, ONA, WV 25545, (304) 743-3615, ξξ-ξξCABELL COUNTY COUNTY, Public,7,12,,
540078000618, MASON COUNTY CAREER CENTER, OHIO RIVER ROAD, POINT PLEASANT, WV 25550, (304) 675-3039, ξξ-ξξMASON COUNTY COUNTY, Public, PK,12,,
540078000625, POINT PLEASANT HIGH SCHOOL, RT. 1 BOX 4, POINT PLEASANT, WV 25550, (304) 675-1350, ξξ-ξξMASON COUNTY COUNTY, Public,7,12,,
540078000628, ROOSEVELT ELEMENTARY SCHOOL, ROUTE 2 BOX 841, POINT PLEASANT, WV 25550, (304) 675-3337, ξξ-ξξMASON COUNTY COUNTY, Public, KG,6,,
A9504480, CHRIST ACADEMY, PO BOX 224, POINT PLEASANT, WV 25550, (740) 339-0044, ξξ-ξξMASON COUNTY, Private, PK,12,,
540150001108, PRICHARD ELEMENTARY SCHOOL, P.O. BOX 89, PRICHARD, WV 25555, (304) 486-5096, ξξ-ξξWAYNE COUNTY COUNTY, Public, PK,5,,
540066000500, RANGER ELEMENTARY, 104 RANGER BOTTOM ROAD, RANGER, WV 25557, (304) 778-3454, ξξ-ξξLINCOLN COUNTY COUNTY, Public, PK,5,,
540018000680, SALT ROCK ELEMENTARY SCHOOL, 5570 MADISON CREEK RD, SALT ROCK, WV 25559, (304) 733-3037, ξξ-ξξCABELL COUNTY COUNTY, Public, PK,5,,
