360008005528, HARLEM VILLAGE ACADEMY CHARTER SCHOOL EHVACS, 15 PENN PLAZA #15, NEW YORK, NY 10001, (646) 812-9399, ξξ-ξξNEW YORK COUNTY COUNTY, Public,5,12,,
361968001802, VALLEY CENTRAL MIDDLE SCHOOL, 1189 STATE RT 17K, MONTGOMERY, NY 12549, (845) 457-2400, ξξ-ξξORANGE COUNTY COUNTY, Public,6,8,,
362070002901, BALMVILLE SCHOOL, 5144 RT 9W, NEWBURGH, NY 12550, (845) 563-8550, ξξ-ξξORANGE COUNTY COUNTY, Public, KG,6,,
361968001799, EAST COLDENHAM ELEMENTARY SCHOOL, 286 RT 17K, NEWBURGH, NY 12550, (845) 457-2400, ξξ-ξξORANGE COUNTY COUNTY, Public, KG,5,,
362070002903, FOSTERTOWN ETC MAGNET SCHOOL, 364 FOSTERTOWN RD, NEWBURGH, NY 12550, (845) 568-6425, ξξ-ξξORANGE COUNTY COUNTY, Public, KG,6,,
362070002905, GAMS TECH MAGNET SCHOOL, 300 GIDNEY AVE, NEWBURGH, NY 12550, (845) 563-8450, ξξ-ξξORANGE COUNTY COUNTY, Public, KG,6,,
362070002904, GARDNERTOWN FUNDAMENTAL MAGNET SCHOOL, 6 PLATTEKILL TPKE, NEWBURGH, NY 12550, (845) 568-6400, ξξ-ξξORANGE COUNTY COUNTY, Public, KG,6,,
362070002908, HORIZON-ON-THE-HUDSON MAGNET SCHOOL, 137 MONTGOMERY ST, NEWBURGH, NY 12550, (845) 563-3725, ξξ-ξξORANGE COUNTY COUNTY, Public, KG,6,,
362070002907, MEADOW HILL GLOBAL EXPLORATIONS MAGNET SCHOOL, 124 MEADOW HILL RD, NEWBURGH, NY 12550, (845) 568-6600, ξξ-ξξORANGE COUNTY COUNTY, Public, KG,8,,
361857001672, MIDDLE HOPE ELEMENTARY SCHOOL, 62 OVERLOOK DR, NEWBURGH, NY 12550, (845) 565-9623, ξξ-ξξORANGE COUNTY COUNTY, Public, KG,2,,
362070002910, NEWBURGH FREE ACADEMY-MAIN CAMPUS, 201 FULLERTON AVE, NEWBURGH, NY 12550, (845) 563-5400, ξξ-ξξORANGE COUNTY COUNTY, Public,9,12,,
362070002911, NEWBURGH FREE ACADEMY-NORTH CAMPUS, 301 ROBINSON AVE, NEWBURGH, NY 12550, (845) 563-8400, ξξ-ξξORANGE COUNTY COUNTY, Public, N ,N ,,
362070003210, PREKINDERGARTEN AT WASHINGTON ST, 191 WASHINGTON ST, NEWBURGH, NY 12550, (845) 563-8575, ξξ-ξξORANGE COUNTY COUNTY, Public, PK,PK,,
362070002912, SOUTH MIDDLE SCHOOL, 33-63 MONUMENT ST, NEWBURGH, NY 12550, (845) 563-7000, ξξ-ξξORANGE COUNTY COUNTY, Public,7,8,,
362070006011, WEST STREET ELEMENTARY SCHOOL, 39 WEST ST, NEWBURGH, NY 12550, (845) 563-8500, ξξ-ξξORANGE COUNTY COUNTY, Public, KG,5,,
919136, BISHOP DUNN MEMORIAL, 50 GIDNEY AVE, NEWBURGH, NY 12550, (845) 569-3499, ξξ-ξξORANGE COUNTY, Private, PK,8,,
1904956, LEPTONDALE CHRISTIAN ACADEMY, 1771 ROUTE 300, NEWBURGH, NY 12550, (845) 564-2860, ξξ-ξξORANGE COUNTY, Private, PK,8,,
A0701676, NORA CRONIN PRESENTATION ACADEMY, 120 SOUTH ST 2ND FLOOR, NEWBURGH, NY 12550, (845) 567-0708, ξξ-ξξORANGE COUNTY, Private,5,8,,
919624, SACRED HEART SCHOOL, 24 S ROBINSON AVE, NEWBURGH, NY 12550, (845) 561-1433, ξξ-ξξORANGE COUNTY, Private, PK,8,,
A0701690, SAN MIGUEL ACADEMY OF NEWBURGH, 241 LIBERTY ST, NEWBURGH, NY 12550, (845) 561-2822, ξξ-ξξORANGE COUNTY, Private,5,8,,
360843000642, CORNWALL CENTRAL HIGH SCHOOL, 10 DRAGON DR, NEW WINDSOR, NY 12553, (845) 534-8009, ξξ-ξξORANGE COUNTY COUNTY, Public,9,12,,
362070004486, HERITAGE MIDDLE SCHOOL, 405 UNION AVE, NEW WINDSOR, NY 12553, (845) 563-3750, ξξ-ξξORANGE COUNTY COUNTY, Public,7,8,,
363003004036, LITTLE BRITAIN ELEMENTARY SCHOOL, 1160 LITTLE BRITAIN RD, NEW WINDSOR, NY 12553, (845) 497-4000, ξξ-ξξORANGE COUNTY COUNTY, Public, KG,5,,
362070002909, NEW WINDSOR SCHOOL, 175 QUASSAICK AVE, NEW WINDSOR, NY 12553, (845) 563-3700, ξξ-ξξORANGE COUNTY COUNTY, Public, KG,6,,
362070002913, TEMPLE HILL SCHOOL, 525 UNION AVE, NEW WINDSOR, NY 12553, (845) 568-6450, ξξ-ξξORANGE COUNTY COUNTY, Public, KG,8,,
362070002915, VAILS GATE HIGH TECH MAGNET SCHOOL, 400 OLD FORGE HILL RD, NEW WINDSOR, NY 12553, (845) 563-7900, ξξ-ξξORANGE COUNTY COUNTY, Public, KG,6,,
A9104754, CHILDREN S COUNTRY DAY SCHOOL, 1145 LITTLE BRITAIN RD STE 100, NEW WINDSOR, NY 12553, (845) 567-0102, ξξ-ξξORANGE COUNTY, Private, PK,1,,
940736, MCQUADE CHILDREN'S SERVICES/THE KAPLAN SCHOOL, PO BOX 4064, NEW WINDSOR, NY 12553, (845) 561-0436, ξξ-ξξORANGE COUNTY, Private,5,11,,
920866, ST JOSEPH SCHOOL, 148 WINDSOR HWY, NEW WINDSOR, NY 12553, (845) 565-5110, ξξ-ξξORANGE COUNTY, Private, KG,8,,
A0108061, WINDSOR ACADEMY, 271 QUASSAICK AVE, NEW WINDSOR, NY 12553, (845) 562-3711, ξξ-ξξORANGE COUNTY, Private, PK,1,,
A0302326, WOODLAND MONTESSORI SCHOOL, 1145 LITTLE BRITAIN RD SUT 200, NEW WINDSOR, NY 12553, (845) 567-6383, ξξ-ξξORANGE COUNTY, Private, PK,8,,
362046001888, DUZINE SCHOOL, SUNSET RIDGE, NEW PALTZ, NY 12561, (845) 256-4350, ξξ-ξξULSTER COUNTY COUNTY, Public, PK,2,,
362046000353, LENAPE ELEMENTARY SCHOOL, 1 EUGENE L BROWN DR, NEW PALTZ, NY 12561, (845) 256-4300, ξξ-ξξULSTER COUNTY COUNTY, Public,3,5,,
362046001890, NEW PALTZ MIDDLE SCHOOL, 196 MAIN ST, NEW PALTZ, NY 12561, (845) 256-4200, ξξ-ξξULSTER COUNTY COUNTY, Public,6,8,,
362046001891, NEW PALTZ SENIOR HIGH SCHOOL, S PUTT CORNERS RD, NEW PALTZ, NY 12561, (845) 256-4100, ξξ-ξξULSTER COUNTY COUNTY, Public,9,12,,
368092004662, ULSTER BOCES, 175 RTE 32 N, NEW PALTZ, NY 12561, (845) 255-3040, ξξ-ξξULSTER COUNTY COUNTY, Public, N ,N ,,
A9104930, MOUNTAIN LAUREL WALDORF SCHOOL, PO BOX 939, NEW PALTZ, NY 12561, (845) 255-0033, ξξ-ξξULSTER COUNTY, Private, PK,8,,
360657000442, MATTHEW PATERSON ELEMENTARY SCHOOL, 100 SOUTH ST, PATTERSON, NY 12563, (845) 878-3211, ξξ-ξξPUTNAM COUNTY COUNTY, Public, KG,4,,
362253003172, PAWLING ELEMENTARY SCHOOL, 7 HAIGHT ST, PAWLING, NY 12564, (845) 855-4630, ξξ-ξξDUTCHESS COUNTY COUNTY, Public, KG,4,,
362253003173, PAWLING HIGH SCHOOL, 30 WAGNER RD, PAWLING, NY 12564, (845) 855-4620, ξξ-ξξDUTCHESS COUNTY COUNTY, Public,9,12,,
362253003255, PAWLING MIDDLE SCHOOL, 80 WAGNER RD, PAWLING, NY 12564, (845) 855-4653, ξξ-ξξDUTCHESS COUNTY COUNTY, Public,5,8,,
A0107716, MIZZENTOP DAY SCHOOL, 64 E MAIN ST, PAWLING, NY 12564, (845) 855-7339, ξξ-ξξDUTCHESS COUNTY, Private, PK,8,,
935249, TRINITY-PAWLING SCHOOL, 700 ROUTE 22, PAWLING, NY 12564, (845) 855-3100, ξξ-ξξDUTCHESS COUNTY, Private,7,12,,
362301003225, CRISPELL MIDDLE SCHOOL, PO BOX 780, PINE BUSH, NY 12566, (845) 744-2031, ξξ-ξξORANGE COUNTY COUNTY, Public,6,8,,
362301003226, E J RUSSELL ELEMENTARY SCHOOL, PO BOX 730, PINE BUSH, NY 12566, (845) 744-2031, ξξ-ξξORANGE COUNTY COUNTY, Public, PK,5,,
362301004820, PINE BUSH ELEMENTARY SCHOOL, PO BOX 899, PINE BUSH, NY 12566, (845) 744-2031, ξξ-ξξORANGE COUNTY COUNTY, Public, PK,5,,
362301003228, PINE BUSH SENIOR HIGH SCHOOL, PO BOX 670, PINE BUSH, NY 12566, (845) 744-2031, ξξ-ξξORANGE COUNTY COUNTY, Public,9,12,,
A9104749, CHAPEL FIELD CHRISTIAN HIGH SCHOOL, 211 FLEURY RD, PINE BUSH, NY 12566, (845) 778-1881, ξξ-ξξORANGE COUNTY, Private,6,12,,
362304003230, SEYMOUR SMITH INTERMEDIATE LEARNING CENTER, 41 ACADEMY ST, PINE PLAINS, NY 12567, (518) 398-3000, ξξ-ξξDUTCHESS COUNTY COUNTY, Public,3,5,,
362304003231, STISSING MOUNTAIN HIGH SCHOOL, 2829 CHURCH ST, PINE PLAINS, NY 12567, (518) 398-7181, ξξ-ξξDUTCHESS COUNTY COUNTY, Public,9,12,,
362304004975, STISSING MOUNTAIN MIDDLE SCHOOL, 2829 CHURCH ST, PINE PLAINS, NY 12567, (518) 398-7181, ξξ-ξξDUTCHESS COUNTY COUNTY, Public,6,8,,
362979004002, PLATTEKILL ELEMENTARY SCHOOL, PO BOX 310, PLATTEKILL, NY 12568, (845) 895-7250, ξξ-ξξULSTER COUNTY COUNTY, Public, KG,6,,
360327000095, TRAVER ROAD PRIMARY SCHOOL, 801 TRAVER RD, PLEASANT VALLEY, NY 12569, (845) 635-4300, ξξ-ξξDUTCHESS COUNTY COUNTY, Public, KG,2,,
360327000096, WEST ROAD/D'AQUANNIS INTERMEDIATE SCHOOL, 181 WEST RD, PLEASANT VALLEY, NY 12569, (845) 635-4310, ξξ-ξξDUTCHESS COUNTY COUNTY, Public,3,5,,
360327000089, BEEKMAN SCHOOL, 201 LIME RIDGE RD, POUGHQUAG, NY 12570, (845) 227-1834, ξξ-ξξDUTCHESS COUNTY COUNTY, Public, KG,5,,
362424003333, LINDEN AVENUE MIDDLE SCHOOL, 65 W MARKET ST, RED HOOK, NY 12571, (845) 758-2241, ξξ-ξξDUTCHESS COUNTY COUNTY, Public,6,8,,
362424000225, MILL ROAD-INTERMEDIATE GRADES, 9 MILL RD, RED HOOK, NY 12571, (845) 758-2241, ξξ-ξξDUTCHESS COUNTY COUNTY, Public,3,5,,
362424000247, MILL ROAD-PRIMARY GRADES, 9 MILL RD, RED HOOK, NY 12571, (845) 758-2241, ξξ-ξξDUTCHESS COUNTY COUNTY, Public, KG,2,,
362424003334, RED HOOK SENIOR HIGH SCHOOL, 103 W MARKET ST, RED HOOK, NY 12571, (845) 758-2241, ξξ-ξξDUTCHESS COUNTY COUNTY, Public,9,12,,
A9702380, DEVEREUX IN NY, 40 DEVEREUX WAY, RED HOOK, NY 12571, (845) 758-1899, ξξ-ξξDUTCHESS COUNTY, Private, Ungraded,Ungraded,,
362448003343, BULKELEY MIDDLE SCHOOL, PO BOX 351, RHINEBECK, NY 12572, (845) 871-5500, ξξ-ξξDUTCHESS COUNTY COUNTY, Public,6,8,,
362448003344, CHANCELLOR LIVINGSTON ELEMENTARY SCHOOL, PO BOX 351, RHINEBECK, NY 12572, (845) 871-5570, ξξ-ξξDUTCHESS COUNTY COUNTY, Public, KG,5,,
362448003345, RHINEBECK SENIOR HIGH SCHOOL, PO BOX 351, RHINEBECK, NY 12572, (845) 871-5500, ξξ-ξξDUTCHESS COUNTY COUNTY, Public,9,12,,
2045797, ASTOR HOME FOR CHILDREN, PO BOX 5005, RHINEBECK, NY 12572, (845) 871-1032, ξξ-ξξDUTCHESS COUNTY, Private, Ungraded,Ungraded,,
941671, ANDERSON CENTER FOR AUTISM, PO BOX 367, STAATSBURG, NY 12580, (845) 889-4034, ξξ-ξξDUTCHESS COUNTY, Private, Ungraded,Ungraded,,
362304004530, COLD SPRING EARLY LEARNING CENTER, 358 HOMAN RD, STANFORDVILLE, NY 12581, (845) 868-7451, ξξ-ξξDUTCHESS COUNTY COUNTY, Public, KG,2,,
361968001804, WALDEN ELEMENTARY SCHOOL, 75 ORCHARD ST, WALDEN, NY 12586, (845) 457-2400, ξξ-ξξORANGE COUNTY COUNTY, Public, KG,5,,
920469, MOST PRECIOUS BLOOD SCHOOL, 180 ULSTER AVE, WALDEN, NY 12586, (845) 778-3028, ξξ-ξξORANGE COUNTY, Private, KG,8,,
362979004003, JOHN G BORDEN MIDDLE SCHOOL, PO BOX 310, WALLKILL, NY 12589, (845) 895-7175, ξξ-ξξULSTER COUNTY COUNTY, Public,7,8,,
362979004000, LEPTONDALE ELEMENTARY SCHOOL, PO BOX 310, WALLKILL, NY 12589, (845) 895-7200, ξξ-ξξORANGE COUNTY COUNTY, Public, KG,6,,
362979004001, OSTRANDER ELEMENTARY SCHOOL, PO BOX 310, WALLKILL, NY 12589, (845) 895-7225, ξξ-ξξULSTER COUNTY COUNTY, Public, KG,6,,
362979004004, WALLKILL SENIOR HIGH SCHOOL, PO BOX 310, WALLKILL, NY 12589, (845) 895-7150, ξξ-ξξULSTER COUNTY COUNTY, Public,9,12,,
362988004015, FISHKILL PLAINS ELEMENTARY SCHOOL, 17 LAKE WALTON RD, WAPPINGERS FALLS, NY 12590, (845) 227-1770, ξξ-ξξDUTCHESS COUNTY COUNTY, Public, KG,5,,
362988004017, JAMES S EVANS ELEMENTARY SCHOOL, 747 OLD RT 9, WAPPINGERS FALLS, NY 12590, (845) 298-5240, ξξ-ξξDUTCHESS COUNTY COUNTY, Public, KG,6,,
362988004020, MYERS CORNERS SCHOOL, 156 MYERS CORNERS RD, WAPPINGERS FALLS, NY 12590, (845) 298-5260, ξξ-ξξDUTCHESS COUNTY COUNTY, Public, KG,6,,
362988005598, ORCHARD VIEW ALTERNATIVE HIGH SCHOOL, 167 MYERS CORNERS RD, WAPPINGERS FALLS, NY 12590, (845) 298-5000, ξξ-ξξDUTCHESS COUNTY COUNTY, Public,10,12,,
362988004022, ROY C KETCHAM SENIOR HIGH SCHOOL, 99 MYERS CORNERS RD, WAPPINGERS FALLS, NY 12590, (845) 298-5100, ξξ-ξξDUTCHESS COUNTY COUNTY, Public,9,12,,
362988004023, SHEAFE ROAD ELEMENTARY SCHOOL, 287 SHEAFE RD, WAPPINGERS FALLS, NY 12590, (845) 298-5290, ξξ-ξξDUTCHESS COUNTY COUNTY, Public, KG,5,,
362988004024, VAN WYCK JUNIOR HIGH SCHOOL, 10 HILLSIDE LAKE RD, WAPPINGERS FALLS, NY 12590, (845) 227-1700, ξξ-ξξDUTCHESS COUNTY COUNTY, Public,6,8,,
362988004026, WAPPINGERS FALLS JUNIOR HIGH SCHOOL, 30 MAJOR MACDONALD WAY, WAPPINGERS FALLS, NY 12590, (845) 298-5200, ξξ-ξξDUTCHESS COUNTY COUNTY, Public,7,8,,
941988, THE RANDOLPH SCHOOL, 2467 ROUTE 9D, WAPPINGERS FALLS, NY 12590, (845) 297-5600, ξξ-ξξDUTCHESS COUNTY, Private, PK,12,,
360921000708, WINGDALE ELEMENTARY SCHOOL, 6413 RT 55, WINGDALE, NY 12594, (845) 832-4530, ξξ-ξξDUTCHESS COUNTY COUNTY, Public, KG,2,,
362376004326, COLUMBUS SCHOOL, 12 S PERRY ST, POUGHKEEPSIE, NY 12601, (845) 451-4630, ξξ-ξξDUTCHESS COUNTY COUNTY, Public, KG,5,,
368028004630, DUTCHESS BOCES, 5 BOCES RD, POUGHKEEPSIE, NY 12601, (845) 486-4800, ξξ-ξξDUTCHESS COUNTY COUNTY, Public, N ,N ,,
362376003305, GOV GEORGE CLINTON SCHOOL, 100 MONTGOMERY ST, POUGHKEEPSIE, NY 12601, (845) 451-4600, ξξ-ξξDUTCHESS COUNTY COUNTY, Public, KG,5,,
362376003306, MORSE YOUNG MAGNET SCHOOL, 101 MANSION ST, POUGHKEEPSIE, NY 12601, (845) 451-4690, ξξ-ξξDUTCHESS COUNTY COUNTY, Public, KG,5,,
360650000432, NASSAU SCHOOL, 7 NASSAU RD, POUGHKEEPSIE, NY 12601, (845) 463-7843, ξξ-ξξDUTCHESS COUNTY COUNTY, Public, KG,5,,
362988004021, OAK GROVE ELEMENTARY SCHOOL, 40 KERR RD, POUGHKEEPSIE, NY 12601, (845) 298-5280, ξξ-ξξDUTCHESS COUNTY COUNTY, Public, KG,5,,
361518001276, VIOLET AVENUE SCHOOL, 191 VIOLET AVE, POUGHKEEPSIE, NY 12601, (845) 486-4499, ξξ-ξξDUTCHESS COUNTY COUNTY, Public, KG,5,,
362376003302, WARRING MAGNET ACADEMY OF SCIENCE AND TECHNOLOGY, 283 MANSION ST, POUGHKEEPSIE, NY 12601, (845) 451-4750, ξξ-ξξDUTCHESS COUNTY COUNTY, Public, KG,5,,
A0902285, ABILITIES FIRST, 230 NORTH RD, POUGHKEEPSIE, NY 12601, (845) 546-0774, ξξ-ξξDUTCHESS COUNTY, Private, Ungraded,Ungraded,,
A0302308, ST PETER SCHOOL, 12 FATHER CODY DR, POUGHKEEPSIE, NY 12601, (845) 471-6600, ξξ-ξξDUTCHESS COUNTY, Private, PK,8,,
943318, TABERNACLE CHRISTIAN ACADEMY, 155 ACADEMY ST, POUGHKEEPSIE, NY 12601, (845) 454-2792, ξξ-ξξDUTCHESS COUNTY, Private, KG,12,,
360327000087, ARLINGTON MIDDLE SCHOOL, 601 DUTCHESS TPKE, POUGHKEEPSIE, NY 12603, (845) 486-4480, ξξ-ξξDUTCHESS COUNTY COUNTY, Public,6,8,,
360327000086, ARTHUR S MAY SCHOOL, 25 RAYMOND AVE, POUGHKEEPSIE, NY 12603, (845) 486-4960, ξξ-ξξDUTCHESS COUNTY COUNTY, Public, KG,5,,
362376003304, G W KRIEGER SCHOOL, 265 HOOKER AVE, POUGHKEEPSIE, NY 12603, (845) 451-4660, ξξ-ξξDUTCHESS COUNTY COUNTY, Public, KG,5,,
360650000430, HAGAN SCHOOL, 42 HAGAN DR, POUGHKEEPSIE, NY 12603, (845) 463-7840, ξξ-ξξDUTCHESS COUNTY COUNTY, Public, KG,5,,
362988001118, KINRY ROAD ELEMENTARY SCHOOL, 58 KINRY RD, POUGHKEEPSIE, NY 12603, (845) 463-7322, ξξ-ξξDUTCHESS COUNTY COUNTY, Public,4,6,,
360327000092, NOXON ROAD ELEMENTARY SCHOOL, 4 OLD NOXON RD, POUGHKEEPSIE, NY 12603, (845) 486-4950, ξξ-ξξDUTCHESS COUNTY COUNTY, Public, KG,5,,
360650000433, ORVILLE A TODD MIDDLE SCHOOL, 11 CROFT RD, POUGHKEEPSIE, NY 12603, (845) 463-7830, ξξ-ξξDUTCHESS COUNTY COUNTY, Public,6,8,,
360327000093, OVERLOOK PRIMARY SCHOOL, 11 MAPLEVIEW RD EXT, POUGHKEEPSIE, NY 12603, (845) 486-4970, ξξ-ξξDUTCHESS COUNTY COUNTY, Public, KG,2,,
362376003307, POUGHKEEPSIE HIGH SCHOOL, 70 FORBUS ST, POUGHKEEPSIE, NY 12603, (845) 451-4850, ξξ-ξξDUTCHESS COUNTY COUNTY, Public,9,12,,
362376003308, POUGHKEEPSIE MIDDLE SCHOOL, 55 COLLEGE AVE, POUGHKEEPSIE, NY 12603, (845) 451-4800, ξξ-ξξDUTCHESS COUNTY COUNTY, Public,6,8,,
360650000434, SPACKENKILL HIGH SCHOOL, 112 SPACKENKILL RD, POUGHKEEPSIE, NY 12603, (845) 463-7810, ξξ-ξξDUTCHESS COUNTY COUNTY, Public,9,12,,
360327003268, TITUSVILLE INTERMEDIATE, 128 MEADOW LN, POUGHKEEPSIE, NY 12603, (845) 486-4470, ξξ-ξξDUTCHESS COUNTY COUNTY, Public,3,5,,
362988004025, VASSAR ROAD ELEMENTARY SCHOOL, 174 VASSAR RD, POUGHKEEPSIE, NY 12603, (845) 463-7860, ξξ-ξξDUTCHESS COUNTY COUNTY, Public, KG,3,,
2166701, FAITH CHRISTIAN ACADEMY, 254 SPACKENKILL RD, POUGHKEEPSIE, NY 12603, (845) 462-0266, ξξ-ξξDUTCHESS COUNTY, Private, PK,10,,
A9502933, HAWK MEADOW MONTESSORI SCHOOL, 488 FREEDOM PLAINS RD STE 141, POUGHKEEPSIE, NY 12603, (845) 223-3783, ξξ-ξξDUTCHESS COUNTY, Private, PK,5,,
922535, HOLY TRINITY SCHOOL, 20 SPRINGSIDE AVE, POUGHKEEPSIE, NY 12603, (845) 471-0520, ξξ-ξξDUTCHESS COUNTY, Private, KG,8,,
935191, OAKWOOD FRIENDS SCHOOL, 22 SPACKENKILL RD, POUGHKEEPSIE, NY 12603, (845) 462-4200, ξξ-ξξDUTCHESS COUNTY, Private,6,12,,
922841, OUR LADY OF LOURDES HIGH SCHOOL, 131 BOARDMAN RD, POUGHKEEPSIE, NY 12603, (845) 463-0400, ξξ-ξξDUTCHESS COUNTY, Private,9,12,,
A0502538, POUGHKEEPSIE DAY SCHOOL, 260 BOARDMAN RD, POUGHKEEPSIE, NY 12603, (845) 462-7600, ξξ-ξξDUTCHESS COUNTY, Private, PK,12,,
944151, POUGHKEEPSIE SDA ELEMENTARY SCHOOL, 71 MITCHELL AVE, POUGHKEEPSIE, NY 12603, (845) 454-1781, ξξ-ξξDUTCHESS COUNTY, Private, PK,6,,
919737, ST MARTIN DE PORRES SCHOOL, 122 CEDAR VALLEY RD, POUGHKEEPSIE, NY 12603, (845) 452-4428, ξξ-ξξDUTCHESS COUNTY, Private, PK,8,,
A0108059, WIMPFHEIMER NURSERY SCHOOL, PO BOX 485, POUGHKEEPSIE, NY 12604, (845) 437-5630, ξξ-ξξDUTCHESS COUNTY, Private, PK,KG,,
361974001808, GEORGE L COOKE SCHOOL, 69 RICHARDSON AVE, MONTICELLO, NY 12701, (845) 794-8830, ξξ-ξξSULLIVAN COUNTY COUNTY, Public, KG,5,,
361974001809, KENNETH L RUTHERFORD SCHOOL, 26 PATRICIA PL, MONTICELLO, NY 12701, (845) 794-4240, ξξ-ξξSULLIVAN COUNTY COUNTY, Public, KG,5,,
361974001810, MONTICELLO HIGH SCHOOL, 39 BREAKEY AVE, MONTICELLO, NY 12701, (845) 794-8840, ξξ-ξξSULLIVAN COUNTY COUNTY, Public,9,12,,
361974001811, ROBERT J KAISER MIDDLE SCHOOL, 45 BREAKEY AVE, MONTICELLO, NY 12701, (845) 796-3058, ξξ-ξξSULLIVAN COUNTY COUNTY, Public,6,8,,
A0302274, NEW HOPE MANOR, 35 HILLSIDE RD, BARRYVILLE, NY 12719, (845) 557-8353, ξξ-ξξSULLIVAN COUNTY, Private,11,12,,
362352003285, N A HAMILTON BICENTENIAL SCHOOL, 929 RT 209, CUDDEBACKVILLE, NY 12729, (845) 754-8314, ξξ-ξξORANGE COUNTY COUNTY, Public, KG,6,,
A0902291, FEI TIAN ACADEMY OF THE ARTS, 140 GALLEY HILL RD, CUDDEBACKVILLE, NY 12729, (845) 754-4226, ξξ-ξξORANGE COUNTY, Private,7,12,,
361041000803, ELDRED JUNIOR-SENIOR HIGH SCHOOL, PO BOX 249, ELDRED, NY 12732, (845) 557-6014, ξξ-ξξSULLIVAN COUNTY COUNTY, Public,7,12,,
361095000873, BENJAMIN COSOR ELEMENTARY SCHOOL, PO BOX 123, FALLSBURG, NY 12733, (845) 434-4110, ξξ-ξξSULLIVAN COUNTY COUNTY, Public, PK,6,,
361095000874, FALLSBURG JUNIOR SENIOR HIGH SCHOOL, PO BOX 124, FALLSBURG, NY 12733, (845) 434-6800, ξξ-ξξSULLIVAN COUNTY COUNTY, Public,7,12,,
361041001902, GEORGE ROSS MACKENZIE ELEMENTARY SCHOOL, PO BOX 249, GLEN SPEY, NY 12737, (845) 856-9723, ξξ-ξξSULLIVAN COUNTY COUNTY, Public, PK,6,,
AA890655, THE HOMESTEAD SCHOOL, 428 HOLLOW RD, GLEN SPEY, NY 12737, (845) 856-6359, ξξ-ξξSULLIVAN COUNTY, Private, PK,6,,
362889003909, TRI-VALLEY ELEMENTARY SCHOOL, 34 MOORE HILL RD, GRAHAMSVILLE, NY 12740, (845) 985-2278, ξξ-ξξSULLIVAN COUNTY COUNTY, Public, PK,6,,
362889003910, TRI-VALLEY SECONDARY SCHOOL, 34 MOORE HILL RD, GRAHAMSVILLE, NY 12740, (845) 985-2296, ξξ-ξξSULLIVAN COUNTY COUNTY, Public,7,12,,
942143, THE CENTER FOR DISCOVERY, PO BOX 840, HARRIS, NY 12742, (845) 794-1400, ξξ-ξξSULLIVAN COUNTY, Private, Ungraded,Ungraded,,
360002301493, SULLIVAN WEST ELEMENTARY SCHOOL, PO BOX 308, JEFFERSONVILLE, NY 12748, (845) 482-4610, ξξ-ξξSULLIVAN COUNTY COUNTY, Public, PK,6,,
A0502418, BAIS YISROEL SCHOOL, 213 GIBBER RD, KIAMESHA LAKE, NY 12751, (851) 794-9915, ξξ-ξξSULLIVAN COUNTY, Private, PK,8,,
938884, HEBREW DAY SCHOOL OF SULLIVAN, PO BOX 239, KIAMESHA LAKE, NY 12751, (845) 794-7890, ξξ-ξξSULLIVAN COUNTY, Private, PK,8,,
A0902393, TALMUD TORAH IMREI BURECH, PO BOX 406, KIAMESHA LAKE, NY 12751, (845) 794-9915, ξξ-ξξSULLIVAN COUNTY, Private, PK,8,,
360002301358, SULLIVAN WEST HIGH SCHOOL AT LAKE HUNTINGTON, P O BOX 309, LAKE HUNTINGTON, NY 12752, (845) 932-8401, ξξ-ξξSULLIVAN COUNTY COUNTY, Public,7,12,,
361722001538, LIBERTY ELEMENTARY SCHOOL, 201 N MAIN ST, LIBERTY, NY 12754, (845) 292-5400, ξξ-ξξSULLIVAN COUNTY COUNTY, Public, PK,4,,
361722001539, LIBERTY HIGH SCHOOL, 125 BUCKLEY ST, LIBERTY, NY 12754, (845) 292-5400, ξξ-ξξSULLIVAN COUNTY COUNTY, Public,9,12,,
361722004830, LIBERTY MIDDLE SCHOOL, 145 BUCKLEY ST, LIBERTY, NY 12754, (845) 292-5400, ξξ-ξξSULLIVAN COUNTY COUNTY, Public,5,8,,
368088004660, SULLIVAN BOCES, 6 WIERK AVE, LIBERTY, NY 12754, (845) 295-4016, ξξ-ξξSULLIVAN COUNTY COUNTY, Public, N ,N ,,
A9300646, LIGHT & LIFE CHRISTIAN SCHOOL2535,  STATE ROUTE 52, LIBERTY, NY 12754, (845) 292-4360, ξξ-ξξSULLIVAN COUNTY, Private, PK,8,,
921189, ST PETER'S REGIONAL SCHOOL, 121 LINCOLN PL, LIBERTY, NY 12754, (845) 292-7270, ξξ-ξξSULLIVAN COUNTY, Private, PK,4,,
361758001574, LIVINGSTON MANOR ELEMENTARY SCHOOL, PO BOX 947, LIVINGSTON MANOR, NY 12758, (845) 439-5656, ξξ-ξξSULLIVAN COUNTY COUNTY, Public, PK,6,,
361758001575, LIVINGSTON MANOR HIGH SCHOOL, PO BOX 947, LIVINGSTON MANOR, NY 12758, (845) 439-5621, ξξ-ξξSULLIVAN COUNTY COUNTY, Public,7,12,,
940306, HELION HALL-GHEEZ ACADEMY, 21 MT HELION RD, LONG EDDY, NY 12760, (845) 887-5065, ξξ-ξξDELAWARE COUNTY, Private,7,7,,
362352003283, ANNA S KUHL ELEMENTARY SCHOOL, 10 RT 209, PORT JERVIS, NY 12771, (845) 858-3135, ξξ-ξξORANGE COUNTY COUNTY, Public, KG,6,,
