420606005217, CLARION AREA EL SCH, 800 BOUNDARY ST, CLARION, PA 16214, (814) 226-8118, ξξ-ξξCLARION COUNTY COUNTY, Public, PK,6,,,
A0108843, DEVEREUX BRANDYWINE, PO BOX 69, GLENMOORE, PA 19343, (484) 228-4729, ξξ-ξξCHESTER COUNTY, Private,2,12,,,
1196475, UPATTINAS SCHOOL, 429 GREENRIDGE RD, GLENMOORE, PA 19343, (610) 458-5138, ξξ-ξξCHESTER COUNTY, Private, KG,12,,,
422400000872, HONEY BROOK EL CTR, 1530 WEST WALNUT ROAD, HONEY BROOK, PA 19344, (610) 273-3615, ξξ-ξξCHESTER COUNTY COUNTY, Public, KG,5,,,
A9105639, FAIRVIEW SCHOOL, 870 PLEASANT VIEW RD, HONEY BROOK, PA 19344, (610) 383-9428, ξξ-ξξCHESTER COUNTY, Private,1,8,,,
1198472, HONEYBROOK MENNONITE SCHOOL, 733 WELSH RD, HONEY BROOK, PA 19344, (610) 593-5165, ξξ-ξξCHESTER COUNTY, Private,1,9,,,
A9105986, SHADY GROVE SCHOOL, 3380 HORSESHOE PIKE, HONEY BROOK, PA 19344, (610) 273-3694, ξξ-ξξCHESTER COUNTY, Private,1,8,,,
1186194, VILLA MARIA ACADEMY LOWER SCHOOL, 1140 KING RD, IMMACULATA, PA 19345, (610) 644-4864, ξξ-ξξCHESTER COUNTY, Private, KG,8,,,
A0503025, LANDENBERG CHRISTIAN ACADEMY, PO BOX 397, KEMBLESVILLE, PA 19347, (610) 255-5805, ξξ-ξξCHESTER COUNTY, Private, PK,6,,,
422421006719, CHARLES F PATTON MS, 760 UNIONVILLE ROAD, KENNETT SQUARE, PA 19348, (610) 347-2000, ξξ-ξξCHESTER COUNTY COUNTY, Public,6,8,,,
421269001401, GREENWOOD EL SCH, 420 GREENWOOD ROAD, KENNETT SQUARE, PA 19348, (610) 388-5990, ξξ-ξξCHESTER COUNTY COUNTY, Public, KG,5,,,
421269006482, KENNETT HS, 100 EAST SOUTH STREET, KENNETT SQUARE, PA 19348, (610) 444-6620, ξξ-ξξCHESTER COUNTY COUNTY, Public,9,12,,,
421269006481, MARY D LANG EL SCH, 409 CENTER ST, KENNETT SQUARE, PA 19348, (610) 444-6260, ξξ-ξξCHESTER COUNTY COUNTY, Public, KG,5,,,
422421001442, UNIONVILLE EL SCH, 1775 W DOE RUN ROAD, KENNETT SQUARE, PA 19348, (610) 347-1700, ξξ-ξξCHESTER COUNTY COUNTY, Public, KG,5,,,
422421001443, UNIONVILLE HS, 750 UNIONVILLE ROAD, KENNETT SQUARE, PA 19348, (610) 347-1600, ξξ-ξξCHESTER COUNTY COUNTY, Public,9,12,,,
K9305332, LONDON GROVE FRIENDS KINDERGARTEN, 500 W STREET RD, KENNETT SQUARE, PA 19348, (610) 268-8466, ξξ-ξξCHESTER COUNTY, Private, KG,KG,,,
1185292, ST PATRICK SCHOOL, 210 MEREDITH ST, KENNETT SQUARE, PA 19348, (215) 587-3716, ξξ-ξξCHESTER COUNTY, Private, PK,8,,,
1197639, UPLAND COUNTRY DAY SCHOOL, 420 W STREET RD, KENNETT SQUARE, PA 19348, (610) 444-3035, ξξ-ξξCHESTER COUNTY, Private, PK,9,,,
421269006834, KENNETT MS, 195 SUNNY DELL RD, LANDENBERG, PA 19350, (610) 268-5800, ξξ-ξξCHESTER COUNTY COUNTY, Public,6,8,,,
421087001368, CHARLESTOWN EL SCH, 2060 CHARLESTOWN RD, MALVERN, PA 19355, (610) 935-1555, ξξ-ξξCHESTER COUNTY COUNTY, Public, KG,5,,,
421087000606, GENERAL WAYNE EL SCH, 20 DEVON ROAD, MALVERN, PA 19355, (610) 647-6651, ξξ-ξξCHESTER COUNTY COUNTY, Public, KG,5,,,
421087001424, GREAT VALLEY HS, 225 NORTH PHOENIXVILLE PIKE, MALVERN, PA 19355, (610) 889-1900, ξξ-ξξCHESTER COUNTY COUNTY, Public,9,12,,,
421087001422, GREAT VALLEY MS, 255 NORTH PHOENIXVILLE PIKE, MALVERN, PA 19355, (610) 644-6440, ξξ-ξξCHESTER COUNTY COUNTY, Public,6,8,,,
421087006479, KATHRYN D. MARKLEY EL SCH, 354 SWEDESFORD RD, MALVERN, PA 19355, (610) 644-1790, ξξ-ξξCHESTER COUNTY COUNTY, Public, KG,5,,,
421087001461, SUGARTOWN EL SCH, 611 SUGARTOWN RD, MALVERN, PA 19355, (610) 699-1500, ξξ-ξξCHESTER COUNTY COUNTY, Public, KG,5,,,
K9305334, BRANDYWINE CHILDREN'S HOUSE, 123 GREAT VALLEY PKWY, MALVERN, PA 19355, (610) 640-1202, ξξ-ξξCHESTER COUNTY, Private, PK,KG,,,
K9305336, CHESTERBROOK ACADEMY, 315 TECHNOLOGY DR, MALVERN, PA 19355, (610) 647-5177, ξξ-ξξCHESTER COUNTY, Private, PK,KG,,,
1906567, CHRIST MEMORIAL LUTHERAN SCHOOL, 89 LINE RD, MALVERN, PA 19355, (610) 296-0650, ξξ-ξξCHESTER COUNTY, Private, PK,KG,,,
A9105605, DEVEREUX MAPLETON SCHOOLS, PO BOX 275, MALVERN, PA 19355, (484) 595-6781, ξξ-ξξCHESTER COUNTY, Private,4,12,,,
A0902896, GODDARD SCHOOL, 250 LANCASTER AVE, MALVERN, PA 19355, (610) 647-2836, ξξ-ξξCHESTER COUNTY, Private, PK,KG,,,
1186172, MALVERN PREPARATORY SCHOOL, 418 S WARREN AVE, MALVERN, PA 19355, (484) 595-1100, ξξ-ξξCHESTER COUNTY, Private,6,12,,,
1186183, ST PATRICK SCHOOL, 115 CHANNING AVE, MALVERN, PA 19355, (610) 644-5797, ξξ-ξξCHESTER COUNTY, Private, KG,8,,,
1199159, THE PHELPS SCHOOL, 583 SUGARTOWN RD, MALVERN, PA 19355, (610) 644-1754, ξξ-ξξCHESTER COUNTY, Private,7,12,,,
1196828, VANGUARD SCHOOL, 1777 N VALLEY RD, MALVERN, PA 19355, (610) 296-6725, ξξ-ξξCHESTER COUNTY, Private, Ungraded,Ungraded,,,
1186208, VILLA MARIA ACADEMY HIGH SCHOOL, 370 CENTRAL AVE, MALVERN, PA 19355, (610) 644-2551, ξξ-ξξCHESTER COUNTY, Private,9,12,,,
A9704528, WILLISTOWN COUNTRY DAY SCHOOL, PO BOX 1436, MALVERN, PA 19355, (610) 647-4001, ξξ-ξξCHESTER COUNTY, Private, PK,KG,,,
A9106114, WILLISTOWN COUNTRY DAY SCHOOL-MALVERN MONTESSORI, PO BOX 1436, MALVERN, PA 19355, (610) 647-4001, ξξ-ξξCHESTER COUNTY, Private, Ungraded,Ungraded,,,
421830007333, ELK RIDGE SCHOOL, 200 WICKERSHAM RD, OXFORD, PA 19363, (610) 932-4152, ξξ-ξξCHESTER COUNTY COUNTY, Public,1,2,,,
421830007313, HOPEWELL EL SCH, 602 GARFIELD AVE, OXFORD, PA 19363, (484) 365-6150, ξξ-ξξCHESTER COUNTY COUNTY, Public,5,6,,,
421830006624, JORDAN BANK SCH, 536 HODGSON ST, OXFORD, PA 19363, (610) 932-6625, ξξ-ξξCHESTER COUNTY COUNTY, Public, KG,KG,,,
421830006623, NOTTINGHAM SCH, 736 GARFIELD ST, OXFORD, PA 19363, (610) 932-6632, ξξ-ξξCHESTER COUNTY COUNTY, Public,2,4,,,
421830001420, OXFORD AREA HS, 705 WATERWAY RD, OXFORD, PA 19363, (610) 932-6640, ξξ-ξξCHESTER COUNTY COUNTY, Public,9,12,,,
421830001418, PENN'S GROVE SCH, 602 GARFIELD ST, OXFORD, PA 19363, (610) 932-6615, ξξ-ξξCHESTER COUNTY COUNTY, Public,7,8,,,
A9303746, BETHANY CHRISTIAN SCHOOL, 1137 SHADYSIDE RD, OXFORD, PA 19363, (610) 998-0877, ξξ-ξξCHESTER COUNTY, Private, PK,8,,,
A0302775, SACRED HEART SCHOOL, 205 CHURCH RD, OXFORD, PA 19363, (610) 932-3633, ξξ-ξξCHESTER COUNTY, Private, PK,8,,,
A0702026, WEAVER DAY SCHOOL, 1057 LITTLE ELK CREEK RD, OXFORD, PA 19363, (610) 932-4023, ξξ-ξξCHESTER COUNTY, Private, PK,KG,,,
A0503083, OUR LADY OF CONSOLATION EARLY LEARNING CENTER, 603 W 2ND AVE, PARKESBURG, PA 19365, (610) 857-1163, ξξ-ξξCHESTER COUNTY, Private, PK,KG,,,
420624001376, CALN EL SCH, 3609 LINCOLN HWY, THORNDALE, PA 19372, (610) 383-3760, ξξ-ξξCHESTER COUNTY COUNTY, Public, KG,5,,,
421269001400, NEW GARDEN EL SCH, 265 NEW GARDEN ROAD, TOUGHKENAMON, PA 19374, (610) 268-6900, ξξ-ξξCHESTER COUNTY COUNTY, Public, KG,5,,,
A0302819, WHITE CLAY LEARNING CENTER, 250 NEW GARDEN RD, TOUGHKENAMON, PA 19374, (610) 880-0114, ξξ-ξξCHESTER COUNTY, Private,1,12,,,
420001200311, CHESTER CO FAMILY ACADEMY CS, 323 E GAY ST SUITE B-7, WEST CHESTER, PA 19380, (610) 696-5910, ξξ-ξξCHESTER COUNTY COUNTY, Public, KG,2,,,
422529001452, E N PEIRCE MS, 1314 BURKE RD, WEST CHESTER, PA 19380, (484) 266-2500, ξξ-ξξCHESTER COUNTY COUNTY, Public,6,8,,,
422529001392, EAST BRADFORD EL SCH, 820 FRANK RD, WEST CHESTER, PA 19380, (484) 266-2100, ξξ-ξξCHESTER COUNTY COUNTY, Public, KG,5,,,
422529001395, EAST GOSHEN EL SCH, 800 N CHESTER RD, WEST CHESTER, PA 19380, (484) 266-1500, ξξ-ξξCHESTER COUNTY COUNTY, Public, KG,5,,,
422529001454, FERN HILL EL SCH, 915 LINCOLN AVE, WEST CHESTER, PA 19380, (484) 266-1600, ξξ-ξξCHESTER COUNTY COUNTY, Public, KG,5,,,
422529005137, J R FUGETT MS, 500 ELLIS LN, WEST CHESTER, PA 19380, (484) 266-2900, ξξ-ξξCHESTER COUNTY COUNTY, Public,6,8,,,
422529001457, MARY C HOWSE EL SCH, 641 W BOOT RD, WEST CHESTER, PA 19380, (484) 266-1300, ξξ-ξξCHESTER COUNTY COUNTY, Public, KG,5,,,
420012700837, PENNSYLVANIA LEADERSHIP CS, 1332 ENTERPRISE DR, WEST CHESTER, PA 19380, (610) 701-3333, ξξ-ξξCHESTER COUNTY COUNTY, Public, PK,12,,,
420013800890, SANKOFA ACADEMY CS, 446 WEST GAY STREET, WEST CHESTER, PA 19380, (610) 696-0333, ξξ-ξξCHESTER COUNTY COUNTY, Public,5,12,,,
422529006734, WEST CHESTER EAST HS, 450 ELLIS LN, WEST CHESTER, PA 19380, (484) 266-3800, ξξ-ξξCHESTER COUNTY COUNTY, Public,9,12,,,
422529001453, WEST CHESTER HENDERSON HS, 400 MONTGOMERY AVE, WEST CHESTER, PA 19380, (484) 266-3300, ξξ-ξξCHESTER COUNTY COUNTY, Public,9,12,,,
A0106375, CHESTERBROOK ACADEMY#15, 1190 MCDERMOTT DR, WEST CHESTER, PA 19380, (610) 719-0240, ξξ-ξξCHESTER COUNTY, Private, PK,3,,,
A9105606, DISCOVERY SCHOOL & CAMP325 , N 5 POINTS RD, WEST CHESTER, PA 19380, (610) 696-5984, ξξ-ξξCHESTER COUNTY, Private, PK,KG,,,
A9105681, GOSHEN FRIENDS SCHOOL, 814 N CHESTER RD, WEST CHESTER, PA 19380, (610) 696-8869, ξξ-ξξCHESTER COUNTY, Private, PK,5,,,
A9105604, KANNER LEARNING CENTER, 390 E BOOT RD, WEST CHESTER, PA 19380, (610) 425-6309, ξξ-ξξCHESTER COUNTY, Private, Ungraded,Ungraded,,,
A9903701, KESHER ISRAEL PRESCHOOL & KINDERGARTEN1000,  POTTSTOWN PIKE, WEST CHESTER, PA 19380, (610) 696-4457, ξξ-ξξCHESTER COUNTY, Private, PK,KG,,,
A0302773, SS PETER & PAUL SCHOOL1327,  E BOOT RD, WEST CHESTER, PA 19380, (610) 696-1000, ξξ-ξξCHESTER COUNTY, Private, PK,8,,,
1188227, ST AGNES CATHOLIC SCHOOL, 211 W GAY ST, WEST CHESTER, PA 19380, (610) 696-1260, ξξ-ξξCHESTER COUNTY, Private, PK,8,,,
K9500451, THE GODDARD SCHOOL, 630 SUGARS BRIDGE RD, WEST CHESTER, PA 19380, (610) 431-1330, ξξ-ξξCHESTER COUNTY, Private, PK,KG,,,
1200982, WEST CHESTER CHRISTIAN SCHOOL, 1237 PAOLI PIKE, WEST CHESTER, PA 19380, (610) 696-1278, ξξ-ξξCHESTER COUNTY, Private, KG,12,,,
AA001616, WEST CHESTER FRIENDS SCHOOL, 415 N HIGH ST, WEST CHESTER, PA 19380, (610) 696-2962, ξξ-ξξCHESTER COUNTY, Private, PK,5,,,
A0903107, OLD PATHS BAPTIST ACADEMY, PO BOX 682, WEST CHESTER, PA 19381, (610) 430-7799, ξξ-ξξCHESTER COUNTY, Private, KG,12,,,
422529004812, GLEN ACRES EL SCH, 1150 DELANCEY PL, WEST CHESTER, PA 19382, (484) 266-1700, ξξ-ξξCHESTER COUNTY COUNTY, Public, KG,5,,,
422529006910, HILLSDALE EL SCH, 725 W MARKET ST, WEST CHESTER, PA 19382, (484) 266-2000, ξξ-ξξCHESTER COUNTY COUNTY, Public, KG,5,,,
422529004813, PENN WOOD EL SCH, 1470 JOHNNY'S WAY, WEST CHESTER, PA 19382, (484) 266-1900, ξξ-ξξCHESTER COUNTY COUNTY, Public, KG,5,,,
422421000677, POCOPSON EL SCH, 1105 POCOPSON ROAD, WEST CHESTER, PA 19382, (610) 793-9241, ξξ-ξξCHESTER COUNTY COUNTY, Public, KG,5,,,
422529010012, SARAH W STARKWEATHER EL SCH, 1050 WILMINGTON PIKE, WEST CHESTER, PA 19382, (484) 266-2200, ξξ-ξξCHESTER COUNTY COUNTY, Public, KG,5,,,
422529001451, STETSON MS, 1060 WILMINGTON PIKE, WEST CHESTER, PA 19382, (484) 266-2700, ξξ-ξξCHESTER COUNTY COUNTY, Public,6,8,,,
422529000969, WEST CHESTER BAYARD RUSTIN HS, 1100 SHILOH ROAD, WEST CHESTER, PA 19382, (484) 266-4300, ξξ-ξξCHESTER COUNTY COUNTY, Public,9,12,,,
422529001458, WESTTOWN-THORNBURY EL SCH, 750 WESTBOURNE ROAD, WEST CHESTER, PA 19382, (484) 266-1800, ξξ-ξξCHESTER COUNTY COUNTY, Public, KG,5,,,
K9305344, CHILDRENS CORNER, 28 W ROSEDALE AVE, WEST CHESTER, PA 19382, (610) 692-8656, ξξ-ξξCHESTER COUNTY, Private, PK,KG,,,
A0902982, KINDERCARE LEARNING CENTER, 102 PADDOCK LN, WEST CHESTER, PA 19382, (610) 399-4341, ξξ-ξξCHESTER COUNTY, Private, PK,KG,,,
A0902971, KINDERCARE LEARNING CENTER AT WESTTOWN, 400 SKILES BLVD, WEST CHESTER, PA 19382, (610) 399-9535, ξξ-ξξCHESTER COUNTY, Private, PK,KG,,,
1188238, SS SIMON & JUDE SCHOOL6 CA, VANAUGH CT, WEST CHESTER, PA 19382, (610) 696-5249, ξξ-ξξCHESTER COUNTY, Private, KG,8,,,
A0109024, ST MAXIMILIAN KOLBE SCHOOL, 300 DALY DR, WEST CHESTER, PA 19382, (610) 399-8400, ξξ-ξξCHESTER COUNTY, Private, PK,8,,,
K9305348, WEST CHESTER NAZARENE CHRISTIAN SCHOOL, 202 DEAN ST, WEST CHESTER, PA 19382, (610) 692-7272, ξξ-ξξCHESTER COUNTY, Private, PK,KG,,,
1195733, WESTTOWN SCHOOL, 975 WESTTOWN RD, WEST CHESTER, PA 19382, (610) 399-0123, ξξ-ξξCHESTER COUNTY, Private, PK,12,,,
420010100656, AVON GROVE CS, 110 EAST STATE ST, WEST GROVE, PA 19390, (484) 667-5000, ξξ-ξξCHESTER COUNTY COUNTY, Public, KG,12,,,
420279001367, AVON GROVE HS, 257 EAST STATE RD, WEST GROVE, PA 19390, (610) 869-2446, ξξ-ξξCHESTER COUNTY COUNTY, Public,9,12,,,
420279001365, AVON GROVE INTRMD SCH, 395 S. JENNERSVILLE ROAD, WEST GROVE, PA 19390, (610) 869-2010, ξξ-ξξCHESTER COUNTY COUNTY, Public,3,6,,,
420290006770, CENTER FOR ARTS & TECH-CHESTER CO TECH COLLEGE HS,280, PENNOCKS BRIDGE ROAD, WEST GROVE, PA 19390, (610) 345-1800, ξξ-ξξCHESTER COUNTY COUNTY, Public,9,12,,
420279005216, FRED S ENGLE MS, 107 SCHOOLHOUSE RD, WEST GROVE, PA 19390, (610) 869-3022, ξξ-ξξCHESTER COUNTY COUNTY, Public,7,8,,,
420279010008, PENN LONDON EL SCH, 383 S JENNERSVILLE RD, WEST GROVE, PA 19390, (610) 869-9803, ξξ-ξξCHESTER COUNTY COUNTY, Public, KG,2,,,
1188249, ASSUMPTION BVM SCHOOL, 290 STATE RD, WEST GROVE, PA 19390, (610) 869-9576, ξξ-ξξCHESTER COUNTY, Private, PK,8,,,
K9500427, AVON GROVE NAZARENE ACADEMY, 240 STATE RD, WEST GROVE, PA 19390, (610) 869-9530, ξξ-ξξCHESTER COUNTY, Private, PK,KG,,,
1197005, THE CONCEPT SCHOOL, PO BOX 54, WESTTOWN, PA 19395, (610) 399-1135, ξξ-ξξCHESTER COUNTY, Private,6,12,,,
A9105835, MONTESSORI CHILDREN'S HOUSE OF VALLEY FORGE, PO BOX 687, SOUTHEASTERN, PA 19399, (610) 933-6205, ξξ-ξξCHESTER COUNTY, Private, PK,KG,,,
421698003263, COLE MANOR EL SCH, 2350 SPRINGVIEW RD, NORRISTOWN, PA 19401, (610) 275-5525, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, KG,4,,,
421698003265, EAST NORRITON MS, 330 ROLAND DR, NORRISTOWN, PA 19401, (610) 275-6520, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,5,8,,,
421698003321, EISENHOWER MS, 1601 MARKLEY ST, NORRISTOWN, PA 19401, (610) 277-8720, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,5,8,,,
421698005080, GOTWALS EL SCH, 1 E OAK ST, NORRISTOWN, PA 19401, (610) 275-1077, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, KG,4,,,
421698003318, HANCOCK EL SCH, ARCH & SUMMIT STREETS, NORRISTOWN, PA 19401, (610) 275-5522, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, KG,4,,,
420008800587, PENNSYLVANIA VIRTUAL CS, 1 WEST MAIN STREET, NORRISTOWN, PA 19401, (610) 275-8500, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, KG,12,,,
421698007146, ROOSEVELT ALTERN SCH, 1161 MARKLEY ST, NORRISTOWN, PA 19401, (610) 275-9720, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,9,12,,,
421698003320, STEWART MS, 1315 W MARSHALL ST, NORRISTOWN, PA 19401, (610) 275-6870, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,5,8,,,
A0902983, KINDERCARE LEARNING CENTER, 451 E GERMANTOWN PIKE, EAST NORRITON, PA 19401, (610) 275-1832, ξξ-ξξMONTGOMERY COUNTY, Private, PK,KG,,,
1186456, OUR LADY OF VICTORY REGIONAL SCHOOL, 351 E JOHNSON HWY, EAST NORRITON, PA 19401, (610) 275-2990, ξξ-ξξMONTGOMERY COUNTY, Private, PK,8,,,
1908644, PENN CHRISTIAN ACADEMY, 50 W GERMANTOWN PIKE, EAST NORRITON, PA 19401, (610) 279-6628, ξξ-ξξMONTGOMERY COUNTY, Private, PK,8,,,
1186423, ST FRANCIS OF ASSISI SCHOOL, 601 BUTTONWOOD ST, NORRISTOWN, PA 19401, (610) 272-0501, ξξ-ξξMONTGOMERY COUNTY, Private, PK,8,,,
421425006716, ARCOLA INTRMD SCH, 4000 EAGLEVILLE ROAD, NORRISTOWN, PA 19403, (610) 489-5000, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,7,8,,,
421425000173, AUDUBON EL SCH, 2765 EGYPT RD, AUDUBON, PA 19403, (610) 489-5000, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, KG,4,,,
421425003303, EAGLEVILLE EL SCH, 125 SUMMIT AVE, EAGLEVILLE, PA 19403, (610) 489-5000, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, KG,4,,,
421698003408, MARSHALL STREET EL SCH, 1525 W MARSHALL ST, NORRISTOWN, PA 19403, (610) 630-8550, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, KG,4,,,
421425003305, METHACTON HS, 1001 KRIEBEL MILL ROAD, NORRISTOWN, PA 19403, (610) 489-5000, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,9,12,,,
421698006729, NORRISTOWN AREA HS, 1900 EAGLE DR, NORRISTOWN, PA 19403, (610) 630-5090, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,9,12,,,
421698005253, PAUL V FLY EL SCH, 2920 POTSHOP RD, NORRISTOWN, PA 19403, (610) 630-0380, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, KG,4,,,
421425007347, SKYVIEW UPPER EL SCH, 4001 B EAGLEVILLE RD, EAGLEVILLE, PA 19403, (610) 489-5000, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,5,6,,,
421698000047, WHITEHALL EL SCH, 399 N WHITEHALL RD, NORRISTOWN, PA 19403, (610) 630-6000, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, KG,4,,,
421425005252, WOODLAND EL SCH, 2700 WOODLAND AVE, NORRISTOWN, PA 19403, (610) 489-5000, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, KG,4,,,
1908575, FAIRVIEW CHRISTIAN ACADEMY, 3050 W GERMANTOWN PIKE, EAGLEVILLE, PA 19403, (610) 539-5664, ξξ-ξξMONTGOMERY COUNTY, Private, PK,KG,,,
A9105736, JEFFERSONVILLE COUNTRY DAY SCHOOL, 1770 W MAIN ST, NORRISTOWN, PA 19403, (610) 539-7499, ξξ-ξξMONTGOMERY COUNTY, Private, PK,KG,,,
K9305358, KINDERCARE LEARNING CENTER, 2425 BOULEVARD OF THE GENERALS, NORRISTOWN, PA 19403, (610) 637-9330, ξξ-ξξMONTGOMERY COUNTY, Private, PK,KG,,,
A0508180, MAGIC MOMENTS FOR CHILDREN, 1920 W MARSHALL ST, JEFFERSONVILLE, PA 19403, (610) 539-7743, ξξ-ξξMONTGOMERY COUNTY, Private, KG,KG,,,
1186467, ST TERESA OF AVILA SCHOOL, 2550 S PARKVIEW DR, NORRISTOWN, PA 19403, (610) 666-6069, ξξ-ξξMONTGOMERY COUNTY, Private, PK,8,,,
1186478, ST TITUS ELEMENTARY SCHOOL, 3000 KEENWOOD RD, EAGLEVILLE, PA 19403, (610) 279-6043, ξξ-ξξMONTGOMERY COUNTY, Private, PK,8,,,
A9105773, THE LINCOLN CENTER, 2600 EISENHOWER AVE, AUDUBON, PA 19403, (610) 277-3715, ξξ-ξξMONTGOMERY COUNTY, Private,7,12,,,
1197129, THE PATHWAY SCHOOL, 162 EGYPT RD, NORRISTOWN, PA 19403, (610) 277-0660, ξξ-ξξMONTGOMERY COUNTY, Private, Ungraded,Ungraded,,,
A9106071, VALLEY FORGE CHILDREN'S ACADEMY, 1010 ADAMS AVE, AUDUBON, PA 19403, (610) 676-0023, ξξ-ξξMONTGOMERY COUNTY, Private, PK,KG,,,
1186489, VISITATION BVM SCHOOL, 190 N TROOPER RD, EAGLEVILLE, PA 19403, (610) 539-6080, ξξ-ξξMONTGOMERY COUNTY, Private, PK,8,,,
422448006468, BRIDGEPORT EL SCH, 900 BUSH AND SCHOOL LANE, BRIDGEPORT, PA 19405, (610) 205-3602, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, KG,4,,,
422448004832, CALEY EL SCH, 725 CALEY ROAD, KING OF PRUSSIA, PA 19406, (610) 205-3652, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, KG,4,,,
422448003389, CANDLEBROOK EL SCH, 310 PRINCE FREDERICK ST, KING OF PRUSSIA, PA 19406, (610) 205-3702, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public, KG,4,,,
422448003395, UPPER MERION HS, 440 CROSSFIELD RD, KING OF PRUSSIA, PA 19406, (610) 205-3802, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,9,12,,,
422448003394, UPPER MERION MS, 450 CROSSFIELD ROAD, KING OF PRUSSIA, PA 19406, (610) 205-8802, ξξ-ξξMONTGOMERY COUNTY COUNTY, Public,5,8,,,
A0508132, FOR KIDS SAKE CHILD CARE & LEARNING CENTER486 , KEEBLER RD, KING OF PRUSSIA, PA 19406, (610) 337-2423, ξξ-ξξMONTGOMERY COUNTY, Private, KG,KG,,,
A0902899, GODDARD SCHOOL, 489 S GULPH RD, KING OF PRUSSIA, PA 19406, (610) 337-1900, ξξ-ξξMONTGOMERY COUNTY, Private, PK,KG,,,
A9503507, KINDERCARE LEARNING CENTER, 2001 RENAISSANCE BLVD, KING OF PRUSSIA, PA 19406, (610) 313-0909, ξξ-ξξMONTGOMERY COUNTY, Private, PK,KG,,,
1186037, MOTHER DIVINE PROVIDENCE SCHOOL, 405 ALLENDALE RD, KING OF PRUSSIA, PA 19406, (610) 265-2323, ξξ-ξξMONTGOMERY COUNTY, Private, PK,8,,,
K9305365, TRINITY NURSERY & KINDERGARTEN966 , TRINITY LN, KING OF PRUSSIA, PA 19406, (610) 825-2707, ξξ-ξξMONTGOMERY COUNTY, Private, PK,KG,,,
